Title,Author,Publication_Date,Genres,Summary,image
A Door Into Ocean,Joan Slonczewski,1986,"['Science Fiction', 'Speculative fiction', 'Fiction']"," The novel is set in the future, on the fictional planet of Shora, a moon covered by water. The inhabitants of this planet, known as Sharers, are all female. Sharers use genetic engineering to control the ecology of their planet. They are peaceful beings who ""share"" — that is, they have a spiritual and linguistic union with each other and treat everyone equally. The Sharers take egalitarianism for granted because they share and they lack the concept of ""power-",<PIL.Image.Image image mode=RGB size=512x512 at 0x790190293460>
The Robber Bride,Margaret Atwood,1993-09,"['Speculative fiction', 'Fiction', 'Novel']"," During their most recent outing, three friends see Zenia, a long-dead university classmate who had stolen, one by one, their respective beaux. The novel alternates between the present and flashbacks featuring the points of view of Tony, Charis, and Roz, respectively. Zenia has given each woman a different version of her biography, tailor-made to insinuate herself into their lives. No one version of Zenia is the truth, and the reader knows no more than",<PIL.Image.Image image mode=RGB size=512x512 at 0x790190293640>
The Day of the Locust,Nathanael West,1939-05-16,"['Fiction', 'Novel']"," The book follows a young man named Tod Hackett who thinks of himself as a painter and artist, but who works in Hollywood as a costume designer and background painter. He falls in love with Faye Greener, an aspiring starlet who lives nearby. Between his work in the studio and his introduction to Faye's friends, he is soon interacting with numerous Hollywood hangers-on, including a cowboy who lives in the hills above the studios and works as an extra in cowboy",<PIL.Image.Image image mode=RGB size=512x512 at 0x790190293670>
On Her Majesty's Secret Service,Ian Fleming,1963-04-01,['Spy fiction']," For more than a year, James Bond, British Secret Service operative 007, has been involved in ""Operation Bedlam"": trailing the private criminal organisation SPECTRE and its leader, Ernst Stavro Blofeld. The organisation had hijacked two nuclear devices and subsequently blackmailed the western world, as described in Thunderball. Convinced SPECTERE no longer exists, Bond is frustrated by MI6's insistence that he continue the search and his inability to find Blof",<PIL.Image.Image image mode=RGB size=512x512 at 0x790190293550>
The Mote in God's Eye,Jerry Pournelle,1974,"['Science Fiction', 'Speculative fiction', 'Novel']"," The book is split up into four parts. In the year AD 3017, humanity is recovering slowly from an interstellar civil war that tore apart the first Empire of Man. A new Empire has risen and is occupied in establishing control over the remnants of its predecessor, by force if needed. Commander Lord Roderick Blaine, having participated in the suppression of a rebellion on the planet of New Chicago, is given command of an Imperial battlecruiser, INSS MacArthur, when the captain has",<PIL.Image.Image image mode=RGB size=512x512 at 0x790190293310>
Persuasion,Jane Austen,1818,"['Novel', 'Childrens literature', 'Suspense', 'Romance novel', 'Fiction']"," Anne Elliot is the overlooked middle daughter of the vain Sir Walter, a spendthrift baronet who is all too conscious of his good looks and rank. Anne's mother, a loving, intelligent woman whom her second daughter resembles in appearance and temperament, is long dead. Anne and her older sister, Elizabeth, takes after her father, and her younger sister, Mary, is a nervous, fretful woman who has made an unspectacular marriage to Charles Musgrove of nearby U",<PIL.Image.Image image mode=RGB size=512x512 at 0x7901902934F0>
Stand on Zanzibar,John Brunner,1968,"['Science Fiction', 'Speculative fiction', 'Novel', 'Dystopia']"," The story is set in 2010, mostly in the United States. A number of plots and many vignettes are played out in this future world, based on Brunner's extrapolation of social, economic, and technological trends. The key main trends are based on the enormous population and its impact: social stresses, eugenic legislation, widening social divisions, future shock, and extremism. Certain of Brunner’s guesses are fairly close, others not, and some ideas clearly",<PIL.Image.Image image mode=RGB size=512x512 at 0x790190293490>
Rubyfruit Jungle,Rita Mae Brown,1973,"['Fiction', 'Novel']","The novel focuses on Molly Bolt, the adopted daughter of a poor family, who possesses remarkable beauty and who is aware of her lesbianism from early childhood. Her relationship with her mother is rocky, and at a young age her mother, referred to as ""Carrie,"" informs Molly that she is not her own biological child but a ""bastard."" Molly has her first same-sex sexual relationship in the sixth grade with her friend Leota B. Bisland, and then again",<PIL.Image.Image image mode=RGB size=512x512 at 0x790190293970>
The Sea-Wolf,Jack London,1904,"['Childrens literature', 'Fiction', 'Adventure novel', 'Suspense']"," Like The Call of the Wild, The Sea Wolf tells the story of a soft, domesticated protagonist, in this novel's case an intellectual man named Humphrey van Weyden, forced to become tough and self-reliant by exposure to cruelty and brutality. The story starts with him aboard a San Francisco ferry, called Martinez, which collides with another ship in the fog and sinks. He is set adrift in the Bay, eventually being picked up by Wolf Larsen. Lars",<PIL.Image.Image image mode=RGB size=512x512 at 0x790190293DC0>
Count Zero,William Gibson,1986,"['Cyberpunk', 'Science Fiction', 'Speculative fiction', 'Dystopia']"," As with later Gibson works, there are multiple story-line threads which eventually intertwine: Thread One: In the southwestern USA, Turner, a corporate mercenary soldier, has been hired out to help Mitchell, a brilliant researcher, make an illegal career move from Maas' corporate fortress built into a mesa in the Arizona desert to another corporation. The attempt is a disaster, and Turner ends up escaping with the scientist's young daughter, Angie Mitchell instead. Her father had apparently altered",<PIL.Image.Image image mode=RGB size=512x512 at 0x790190292830>
Mona Lisa Overdrive,William Gibson,1988,"['Cyberpunk', 'Science Fiction', 'Speculative fiction', 'Novel', 'Dystopia']"," Taking place eight years after the events of Count Zero and fifteen years after Neuromancer, the story is formed from several interconnecting plot threads, and also features characters from Gibson's previous works (such as Molly Millions, the razor-fingered mercenary from Neuromaancer). One of the plot threads concerns Mona, an innocent young prostitute who has a more-than-passing resemblance to famed Simstim superstar Angie Mitchell. Mona is hired by shady individuals",<PIL.Image.Image image mode=RGB size=512x512 at 0x7901902939D0>
Tehanu,Ursula K. Le Guin,1990,"['Science Fiction', 'Childrens literature', 'Fantasy', 'Speculative fiction', 'Fiction']"," Tehanu begins slightly before the conclusion of the previous book in the series, The Farthest Shore, and provides some information about the life of Tenar after the end of The Tombs of Atuan. She had rejected the option of life among the aristocracy of Havnor, which Ged had opened to her, and arrived on Gont. For some time she lived with Ged's old master Ogion - but though fond of him, rejected Ogion's offer to",<PIL.Image.Image image mode=RGB size=512x512 at 0x790190293AF0>
The Missionary Position,Christopher Hitchens,1995,['Biography']," Hitchens condemns Mother Teresa for having used contributions to open convents in 150 countries rather than establishing the teaching hospital toward which her donors expected that she would apply their gifts. He claims that Mother Teresa was no ""friend to the poor,"" and that she opposed structural measures to end poverty, particularly those that would raise the status of women. He argues she was a tool by which the Catholic Church furthered its political and theological aims, and the cult of personality that she developed was used by",<PIL.Image.Image image mode=RGB size=512x512 at 0x790190292A40>
The Plague Dogs,Richard Adams,1977-09-22,"['Speculative fiction', 'Fantasy', 'Fiction']"," This book tells of the escape of two dogs, Rowf and Snitter, from a government research station in the Lake District in England, where they had been horribly mistreated. They live on their own with help from a red fox, or ""tod,"" who speaks to them in a Geordie dialect. After the starving dogs attack some sheep on the fells, they are reported as ferocious man-eating monsters by a journalist. A great dog hunt follows, which is",<PIL.Image.Image image mode=RGB size=512x512 at 0x790190292740>
Moll Flanders,Daniel Defoe,1722-01,"['Novel', 'Fantasy', 'Fiction', 'Suspense']"," Moll's mother is a convict in Newgate Prison in London who is given a reprieve by ""pleading her belly,"" a reference to the custom of staying the executions of pregnant criminals. Her mother is eventually transported to America, and Moll Flanders (not her birth name, she emphasizes, taking care not to reveal it) is raised until adolescence by a goodly foster mother, and then gets attached to a household as a servant where she is loved by both sons,",<PIL.Image.Image image mode=RGB size=512x512 at 0x790190293EE0>
Skellig,David Almond,1998,"['Childrens literature', 'Magic realism', 'Speculative fiction', 'Mystery', 'Fantasy', 'Fiction']"," A boy, Michael and his family have moved into a new house that is very old and falling apart. He and his parents are anxious as his new baby sister was born prematurely and may not live due to a heart condition. When Michael goes into the garage, amid all the boxes, debris and dead insects he finds a strange emaciated man. Michael assumes that he is a homeless person, but decides to look after him and gives him food, though he is crotchety",<PIL.Image.Image image mode=RGB size=512x512 at 0x790190293A90>
Diary of an Ordinary Woman,Margaret Forster,2003-03-06,['Novel']," From the age of thirteen, on the eve of the Great War, Millicent King keeps her journals in a series of exercise books. The diary records the dramas of everyday life in an ordinary English family touched by war, tragedy, and money troubles in the early decades of the century. She struggles to become a teacher, but wants more out of life. From bohemian literary London to Rome in the twenties, her story moves on to social work and the build-up to another",<PIL.Image.Image image mode=RGB size=512x512 at 0x790190293A60>
The Road to Oz,L. Frank Baum,1909,"['Speculative fiction', 'Fantasy', 'Childrens literature']"," Dorothy is near her home in Kansas when the story begins. She and her dog Toto first meet the Shaggy Man, a wandering hobo who carries the Love Magnet with him, en route to avoid the town of Butterfield. Further on, the road splits into seven paths. They take the seventh and soon meet Button Bright, a little boy in a sailor's outfit who is always getting lost. Later, the companions meet Polychrome the Rainbow's Daughter, a fairy who",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018BBCCB50>
The Last Battle,C. S. Lewis,1956,"['Speculative fiction', 'Fantasy', 'Childrens literature']"," In The Last Battle, Lewis brings The Chronicles of Narnia to an end. The book deals with the end of time in the old Narnias and sums up the series by linking the experience of the human children in Narnaria with their lives in their original world. The story is set during the reign of the last king of Nannia, King Tirian, great-grandson of the great-greatson of Rilian, son of King Caspian X",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018BBCCCA0>
She: A History of Adventure,H. Rider Haggard,1887,"['Adventure novel', 'Speculative fiction', 'Romance novel', 'Fantasy', 'Fiction', 'Gothic fiction', 'Chivalric romance']"," A young Cambridge University professor, Horace Holly, is visited by a colleague, Vincey, who reveals that he will soon die and proceeds to tell Holly a fantastical tale of his family heritage. He charges Holly with the task of raising his young son, Leo (whom he has never seen) and gives Holly a locked iron box, with instructions that it is not to be opened until Leo turns 25. Holly agrees, and indeed Vincey is found dead the next day.",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018BBCCBB0>
Burmese Days,George Orwell,1934-10,"['Fiction', 'Novel']","Burmese Days is set in 1920s imperial Burma, in the fictional district of Kyauktada. As the story opens U Po Kyin, a corrupt Burmese magistrate, is planning to destroy the reputation of the Indian Dr. Veraswami. The Doctor's main protection is his friendship with John Flory who, as a pukka sahib (European white man), has higher prestige. Dr.Veraswamy wants the privilege of becoming a member",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018BBCC9D0>
A Clergyman's Daughter,George Orwell,1935,['Novel']," The story is given in five distinctive chapters. A day in the life of Dorothy Hare, the weak-willed daughter of a disagreeable widowed clergyman. Her father is Rector of Knype Hill, a small provincial East Anglian town. She keeps house for him, fends off the trade creditors, visits parishioners and makes costumes for fund-raising events. All the time she practises self-mortification in order to be true to her faith.",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018BBCCA30>
Star Maker,Olaf Stapledon,1937,"['Scientific romance', 'Science Fiction', 'Speculative fiction', 'Novel', 'Fiction']"," The book begins with a single human narrator from England who is, via unexplained means, transported out of his body and finds himself able to explore space and other planets. After exploring a civilization on another planet in our galaxy at a level of development similar to our own that existed millions of years ago thousands of light years from Earth (the ""Other Earth"") in some detail, his mind merges with that of one of its inhabitants, and as they travel together, they are joined by still",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018BBCCB80>
Player Piano,Kurt Vonnegut,1952,"['Science Fiction', 'Speculative fiction', 'Dystopia']"," Player Piano is set in the future after a fictional third world war. During the war, while most Americans were fighting overseas, the nation's managers and engineers faced a depleted work force, and responded by developing ingenious automated systems that allowed the factories to operate with only a few workers. The novel begins ten years after the war. The bifurcation of the population is represented by the division of Ilium into ""The Homestead"", where everyone who is neither a manager or engineer lives",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018BBCCBE0>
The Loved One,Evelyn Waugh,1948-02,"['Satire', 'Fiction', 'Novel']"," Chapter one: Sir Ambrose Abercrombie visits housemates Dennis Barlow and Sir Francis Hinsley to express his concern about Barlow's new job and how it reflects on the British enclave in Hollywood, which is also taken as an announcement of Barlows impending exclusion from British society. Barlow reports to his job at the Happier Hunting Ground, a pet cemetery and funeral service, and picks up a couple's dead Sealyham Terrier. Chapter two: Due to",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018BBCCAC0>
A Town Like Alice,Nevil Shute,1950,['Fiction']," The story falls broadly into three parts. In Post-World War II London, Jean Paget, a secretary in a leather-goods factory, is informed by solicitor Noel Strachan that she has inherited a considerable sum of money from an uncle she never knew. But the solicitor is now her trustee and she only has the use of the income until she inherits absolutely, at the age of thirty-five, several years in the future. In the firm's interest, but",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018BBCCC70>
When Harlie Was One,David Gerrold,1972,"['Science Fiction', 'Speculative fiction', 'Fiction']","Central to the story is an Artificial Intelligence named H.A.R.L.I.E., also referred to by the proper name ""HARLIE"" - an acronym for Human Analog Replication, Lethetic Intelligence Engine (originally Human Analog Robot Life Input Equivalents). HARLIE's story revolves around his relationship with David Auberson, the psychologist who is responsible for guiding HARLie from childhood into adulthood. It is also the story of HarLIE",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018BBCCD30>
The Call of the Wild,Jack London,1903,"['Childrens literature', 'Adventure', 'Adventure novel', 'Speculative fiction', 'Fiction', 'Historical fiction']"," As the story opens, Buck, a powerful St. Bernard-Scotch Collie dog, lives a comfortable life in California's Santa Clara Valley as the pet of Judge Miller. Manuel, the gardener's assistant, steals Buck and sells him to pay a gambling debt. Shipped to Seattle, Buck is harassed in his crate and given nothing to eat or drink. Released from the crate, he confronts and is beaten by the ""man in the red sweater"", and is taught to",<PIL.Image.Image image mode=RGB size=512x512 at 0x790190292D10>
Caddie Woodlawn,Carol Ryrie Brink,1935,"['Childrens literature', 'Fiction']"," Set in the 1860s, Caddie Woodlawn is about a lively eleven-year-old tomboy named Caroline Augusta Woodlown, nicknamed ""Caddie"", living in the area of Dunnville, Wisconsin, and her experiences with the nearby Indians. She is a story of her childhood, her love for her mother, and the despair of her ladylike mother and sister. The sequel to the book, Magical Melons (1939), continues the story of C",<PIL.Image.Image image mode=RGB size=512x512 at 0x790190293940>
Germinal,Émile Zola,1885,['Novel']," The novel's central character is Étienne Lantier, previously seen in L'Assommoir (1877), and originally to have been the central character in Zola's ""murder on the trains"" thriller La Bête humaine (1890) before the overwhelmingly positive reaction to Germinal persuaded him otherwise. The young migrant worker arrives at the forbidding coal mining town of Montsou in the bleak area of the far north of France to earn a",<PIL.Image.Image image mode=RGB size=512x512 at 0x790190292530>
Les Liaisons dangereuses,Pierre Choderlos de Laclos,1782-03-23,['Epistolary novel']," The Vicomte de Valmont is determined to seduce the virtuous (and married) Madame de Tourvel, who is living with Valmont's aunt while Monsieur de TourVEL, a magistrate, is away on a court case. At the same time, the Marquise de Merteuil is determinedto corrupt the young Cécile de Volanges, whose mother has only recently brought her out of a convent to be married – to Merteauil's",<PIL.Image.Image image mode=RGB size=512x512 at 0x790190292800>
The First Circle,Aleksandr Solzhenitsyn,1968,"['Fiction', 'Novel']","In the book, the protagonist, Vokentii Volodin, a diplomat, makes a telephone call he feels obligated to his conscience to make, even though he knows he risks arrest. His call was taped and the NKVD seek to identify who made the call. The sharashka prisoners work on technical projects to assist state security agencies and generally pander to Stalin's increasing paranoia. While most are aware of how much better off they are than ""regular"" Gulag prisoners",<PIL.Image.Image image mode=RGB size=512x512 at 0x790190293E20>
Death Be Not Proud,John Gunther,1949,"['Nonfiction', 'Memoir']"," In the book, Gunther records the true story of his teenage son's struggle to overcome a brain tumor, and his ultimate death at the age of seventeen. The story chronicles the period beginning when Johnny experiences the first symptoms of the tumor shortly after being given a clean bill of health. Johnny's complaint of a stiff neck one day leads doctors to operate, thus leading to the discovery of a tumor the size of an orange, according to a doctor. The book, published in 1949",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018BBCC460>
The Golden Age,John C. Wright,2002,"['Hard science fiction', 'Science Fiction', 'Speculative fiction']","The author's first novel, it revolves around the protagonist Phaethon (full name PhaETHon Prime Rhadamanth Humodified (augment) Uncomposed, Indepconciousness, Base Neuroformed, Silver-Gray Manorial Schola, Era 7043). The novel concerns Phaeton's discovery that parts of his past have been edited out of his mind—apparently by himself.",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018BBCC4C0>
Singularity Sky,Charles Stross,2003-07-01,"['Science Fiction', 'Speculative fiction', 'Novel']"," The apparent cause of this distribution of humans is the mysterious and immensely powerful posthuman entity which calls itself ""the Eschaton"". Although the Eschad is usually benign and uninvolved in human affairs, it strictly enforces certain rules on human civilization out of apparent self-interest. To this end, the Esseaton has helpfully left a message throughout human space, for example, engraved in huge letters on the sides of mountains, and dispersed everywhere throughout computer networks. The message",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018BBCDAB0>
The Perfect Storm,Sebastian Junger,1997-05-17,"['Nature', 'Biography']"," The book follows the lives of the swordfishing crew of the Andrea Gail and their family members before and during the 1991 Perfect Storm. Among the men boarding the Andrea gail were Billy Tyne, Alfred Pierre, David ""Sully"" Sullivan, Michael ""Bugsy"" Moran, Dale ""Murph"" Murphy, and Bobby Shatford, each bringing their own intelligence, physical strength, and hope on board with them. The men were raised with the expectation that they would",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018BBCDB40>
The Marvelous Land of Oz,L. Frank Baum,1904,"['Speculative fiction', 'Childrens literature']"," Set shortly after the events in the first book, the protagonist is a boy named Tip, who for as long as he can remember has been under the guardianship of a witch named Mombi (who is the main antagonist) in Gillikin Country. As Mombini is returning home, Tip plans to frighten her with a scarecrow he has made. Since he has no straw available, Tip instead makes a man out of wood and gives him a pumpkin for a head",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018BBCD960>
Ozma of Oz,L. Frank Baum,1907,"['Speculative fiction', 'Fantasy', 'Childrens literature']"," Uncle Henry has been ordered by his doctor to take a vacation from his Kansas farm to Australia. He and his niece Dorothy Gale (this is the first of the Oz books in which the reader learns her last name) are aboard a steamship traveling there when they are caught in a fierce storm and separated. Dorothy is tossed overboard in a large poultry crate along with Billina, a yellow hen that was also on the ship. Dorothy and Billina wash ashore and pick something to eat",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018BBCE410>
Prey,Michael Crichton,2002-11-25,"['Science Fiction', 'Speculative fiction', 'Technothriller', 'Mystery', 'Suspense', 'Fiction']"," The novel is narrated by the protagonist Jack Forman, who is an unemployed software programmer who used to work for a company called Media Tronics when he was fired for discovering an internal scandal. As a result, he is forced to take the role of a house husband while his wife Julia serves a high ranking employee at a nanorobotics company called Xymos. Julia claims that she is working on a new piece of revolutionary imaging technology with her company, which takes up most of",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018BBCE1D0>
The Tin Woodman of Oz,L. Frank Baum,1918,"['Speculative fiction', 'Fantasy', 'Childrens literature']"," The Tin Woodman and the wizard of Oz are regaling each other with tales at the former's palace in the Winkie Country when a Gillikin boy named Woot wanders and is welcomed into their presence. After he is fed and rested (which the Tin Woodmen and the Scarecrow, not being of blood and flesh, do not need), Woot asks the Woodman how he became made of tin. He relates how the Wicked Witch of the East enchanted his axe",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018BBCE170>
Rocannon's World,Ursula K. Le Guin,1966,"['Science Fiction', 'Speculative fiction']"," The novel begins with a prologue called ""Semley's Necklace"", which was first published as a stand-alone story titled ""Dowry of the Angyar"" in Amazing Stories (September 1964). A young woman named Semley takes a space voyage from her unnamed, technologically primitive planet to a museum to reclaim a family heirloom, not realizing that, while the trip will be of short duration for her, many years will elapse on her planet. She returns",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018BBCE560>
Always Coming Home,Ursula K. Le Guin,1985,"['Science Fiction', 'Speculative fiction', 'Fantasy', 'Fiction']"," The book weaves around the story of a Kesh woman called Stone Telling, who lived for years with her father's people&mdash;the Dayao or Condor people, whose society is rigid, patriarchal, hierarchical and militarily expansionist. The story fills less than a third of the book, with the rest being a mixture of Kesh cultural lore (including poetry, prose of various kinds, mythos, rituals, and recipes), essays on Kesh culture,",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018BBCDE70>
The Last of the Mohicans,James Fenimore Cooper,1826-02,['Historical novel']," The action takes place around Glens Falls in upstate New York. Cora and Alice Munro, daughters of Lieutenant Colonel Munro and his wife Cora Munro are traveling with a column of reinforcements from Fort Edward to Fort William Henry, where Munro is commanding an army. In the party are David Gamut the singing teacher, and Major Duncan Heyward, the group's military leader. Magua, the treacherous Huron scout, offers to take the Munro party to",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018BBCE470>
Dorothy and the Wizard in Oz,L. Frank Baum,1908,"['Speculative fiction', 'Fantasy', 'Childrens literature']"," In the story, set after the last book, Dorothy is joining Uncle Henry in California at Hugson's Ranch, on their way home from Australia, Dorothy having visited friends in San Francisco. She strikes up an acquaintance with Hugson and her second cousin, Zeb. Dorothy, Eureka, who is Dorothy's cat, and Zeb are riding a buggy being pulled by a cab-horse named Jim when an earthquake starts and opens a crevice beneath them that sends them hurt",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018BBCE1A0>
Forward the Foundation,Isaac Asimov,1993-01,"['Science Fiction', 'Speculative fiction', 'Fiction']"," In Forward the Foundation, Isaac Asimov continues the chronicles of the life of Hari Seldon, first begun in Prelude to Foundation. The story takes place on Trantor, and begins eight years after the events of Prelude to foundation. It depicts how Seldon developed his theory of psychohistory from hypothetical concept to practical application in galactic events. Beginning during the latter years of the reign of Emperor Cleon I, Seldon's work brings him into the world of galactic",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018BBCDFF0>
Ramona,Helen Hunt Jackson,1884,"['Childrens literature', 'Fiction', 'Novel']"," In Southern California, shortly after the Mexican-American War, a Scots-Native American orphan girl, Ramona, is raised by Señora Gonzaga Moreno, the sister of Ramona's deceased foster mother. Señore Moreno has raised Ramona as part of the family, giving her every luxury, but only because Ramona’s foster mother had requested it as her dying wish. Because of her Native American heritage, Moreno does not love her. That love is reserved",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018BBCE500>
Tik-Tok of Oz,L. Frank Baum,1914,"['Speculative fiction', 'Fantasy', 'Childrens literature']"," Queen Ann Soforth of Oogaboo, a small monarchy separated from the rest of Oz's Winkie Country, sets out to raise an army to conquer Oz. Seventeen men eventually make up the Army of Oginaboo; they march out of their valley. Glinda magically rearranges the path through the mountains and Queen Ann and her army march out into a low-lying, befogged country. Betsy Bobbin, a girl who is a year older than Dorothy",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018BBCE590>
The Truce at Bakura,Kathy Tyers,1993,"['Science Fiction', 'Speculative fiction', 'Fiction']"," While recovering from their victory against the Empire at Endor, the Rebel Alliance intercepts an Imperial probe containing a distress call for the Emperor. The message details a lizardlike race of aliens invading the Outer Rim planet Bakura. With Palpatine dead and the Imperial Navy scattered, Luke Skywalker volunteers to lead a force to intercept the alien invasion and save Bakura, which is now under the control of the Ssi-ruuvi Empire. Upon arrival, the Rebels Alliance forces ally",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018BBCEDD0>
The Scarecrow of Oz,L. Frank Baum,1917,"['Speculative fiction', 'Fantasy', 'Childrens literature']"," Cap'n Bill, a sailor with a wooden peg-leg, and his friend, a little girl named Trot, set out from California on a calm day for a short ride in their row-boat. The calm day suddenly turns dark and stormy and Cap’n Bill and Trot are washed overboard and are carried by mermaids (referred to but not seen) to a cave where they meet an ostrich-like flying creature called an Ork.",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018BBCEB00>
The Genius and the Goddess,Aldous Huxley,1955-12,['Romance novel']," The story begins in 1951. John Rivers is speaking to a friend about his encounter with the Maartens family. In 1921, Rivers, who was extremely sheltered by his widowed mother, is employed as a lab assistant to Henry MaartENS, after receiving his PhD. Dr. Maarten is a Nobel Prize winning, socially awkward physicist. Rivers is invited to live in Henry's home until he finds his own place, but the Maarts family soon develops a fondness for",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018BBCED10>
The Old Capital,Yasunari Kawabata,1962,['Novel'],"Chieko Sada is the daughter of Takichiro and Shige, who operate a kimono wholesale business in Kyoto. Now twenty, Chieko has known since she was in middle school that she was a foundling adopted by Takichiru, Shige. However, as told by Shige's sister, China, who was a young girl, was kidnapped by the same people who had snatched China when she was young. The story ends with Chie",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018BBCED40>
Timequake,Kurt Vonnegut,1997,"['Autobiographical novel', 'Time travel', 'Speculative fiction']"," Vonnegut uses the premise of a timequake (or repetition of actions) in which there is no free will. The idea of determinism is explored—as it is in many of his previous works—to assert that people really have no free Will. Kilgore Trout serves again as the main character, who the author declares as having died in 2001, at Xanadu retreat in Rhode Island. Vonneguts explains in the beginning of the book that he was not",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018BBCEE60>
The Neverending Story,Michael Ende,1979,"['Science Fiction', 'Childrens literature', 'Fantasy', 'Speculative fiction', 'Fiction']"," The book centers on a boy, Bastian Balthazar Bux, who is neglected by his father (who has sunken into despair after his wife's death) and is bullied by his schoolmates. Whilst running from some of them, Bastien bursts into the antique book store of Carl Conrad Coreander. Bastian steals a book from the store called The Neverending Story which Coreander has been reading; he hides in his school's attic, where he proceeds to read",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018BBCEA40>
The Chosen,Chaim Potok,1967-06,"['Speculative fiction', 'Childrens literature', 'Fiction', 'Novel']"," The Chosen is set in the mid-Twentieth Century, in Williamsburg, Brooklyn, New York City. The story takes place over a period of six years, beginning in 1944 when the protagonists are fifteen years old. It is set against the backdrop of the historical events of the time: the death of President Roosevelt, the end of World War II, the revelation of the Holocaust in Europe, and the struggle for the creation of the state of Israel. In Chap. 1:",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018BBCEC80>
The Campus Murders,Gil Brewer,1969,"['Mystery', 'Detective fiction']"," Against the background of a student rebellion, two murders are committed on the Tisquanto State College campus. The first victim is one of the conservative deans, who is stabbed after his life-size effigy has been burned on a stake specially erected by a group of students. The second victim is a female student whose body is found dangling from a rope in the campus bell tower. The missing student is found near a river, severely beaten up and in a coma. In",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018BBCEF20>
Rinkitink in Oz,L. Frank Baum,1916,"['Speculative fiction', 'Fantasy', 'Childrens literature']"," Pingaree is an island in the Nonestic Ocean that surrounds the fairy countries that encircle the Deadly Desert that surrounds, and the Land of Oz. Many years before this story begins, the armies of Regos and Coregos sought to invadePingaree, but their advance was repelled by Pingarees king with the help of three magic pearls given to him by the Mermaids. The Blue Pearl gave the king superhuman strength, the Pink Pearl protected him from",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018BBCEEF0>
Arrowsmith,Sinclair Lewis,1925,"['Fiction', 'Novel']"," Arrowsmith tells the story of bright and scientifically minded Martin Arrowsmith as he makes his way from a small town in the Midwest to the upper echelons of the scientific community. (He is born in Elk Mills, Winnemac, the same fictional state in which several of Lewis's other novels are set.) Along the way he experiences medical school, private practice as the only doctor in tiny Wheatsylvania, North Dakota, various stints as regional health official, and",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018BBCEE30>
The Lost Princess of Oz,L. Frank Baum,1917,"['Speculative fiction', 'Fantasy', 'Childrens literature']", Dorothy has risen from bed for the day and is seeing to her friends in the Emerald City and notices that Ozma has not awakened yet. Dorothy goes into Ozma's chambers only to find she is not there. Glinda awakens in her palace in the Quadling Country and finds her Great Book of Records is missing. She goes to prepare a magic spell to find it- only to see her magic tools are gone as well. She dispatches a messenger to the EmeraldCity to,<PIL.Image.Image image mode=RGB size=512x512 at 0x79018BBCF7F0>
The Time Ships,Stephen Baxter,1995,"['Science Fiction', 'Novel', 'Alternate history', 'Speculative fiction', 'Fiction', 'Time travel']"," After the events related in The Time Machine, the Time Traveller (his first name, Moses, is given in the novel but applied to the Time Machine's younger self) prepares, in 1891, to return to the year 802,701 and save Weena, the Eloi who died in the fire with the Morlocks. He reveals that the quartz construction of the time machine is suffused with a radioactive substance he calls Plattnerite for the mysterious benefactor who gave",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018BBCD870>
